Дата,Время,Курс USD/RUB,Timestamp
2026-02-25,19:02:04,76.47,2026-02-25 19:02:04
2026-02-25,20:02:06,76.47,2026-02-25 20:02:06
2026-02-25,21:02:08,76.47,2026-02-25 21:02:08
2026-02-25,22:02:10,76.47,2026-02-25 22:02:10
2026-02-25,23:02:12,76.47,2026-02-25 23:02:12
2026-02-26,00:02:14,76.47,2026-02-26 00:02:14
2026-02-26,01:02:16,76.47,2026-02-26 01:02:16
2026-02-26,02:02:18,76.47,2026-02-26 02:02:18
2026-02-26,03:02:24,76.47,2026-02-26 03:02:24
2026-02-26,04:02:26,76.47,2026-02-26 04:02:26
2026-02-26,05:02:28,76.47,2026-02-26 05:02:28
2026-02-26,06:02:30,76.47,2026-02-26 06:02:30
2026-02-26,07:02:32,76.47,2026-02-26 07:02:32
2026-02-26,08:02:34,76.47,2026-02-26 08:02:34
2026-02-26,09:02:36,76.47,2026-02-26 09:02:36
2026-02-26,10:02:37,76.47,2026-02-26 10:02:37
2026-02-26,11:02:39,76.47,2026-02-26 11:02:39
2026-02-26,12:02:41,76.47,2026-02-26 12:02:41
2026-02-26,13:02:44,76.47,2026-02-26 13:02:44
2026-02-26,14:02:46,76.47,2026-02-26 14:02:46
2026-02-26,15:02:48,76.47,2026-02-26 15:02:48
2026-02-26,16:02:50,76.47,2026-02-26 16:02:50
2026-02-26,17:02:53,76.47,2026-02-26 17:02:53
2026-02-26,18:02:56,77.12,2026-02-26 18:02:56
2026-02-26,19:02:58,77.12,2026-02-26 19:02:58
